50,50,50,0.45051,0.33099
50,50,100,0.42597,0.30889
50,50,150,0.54553,0.36074
50,50,200,0.56611,0.37659
50,50,250,0.52098,0.35408
50,100,50,0.52969,0.35957
50,100,100,0.55424,0.36532
50,100,150,0.47031,0.33609
50,100,200,0.4711,0.33007
50,100,250,0.61124,0.38955
50,150,50,0.4901,0.34072
50,150,100,0.5677,0.37359
50,150,150,0.5289,0.35342
50,150,200,0.54473,0.36666
50,150,250,0.46952,0.33257
50,200,50,0.45447,0.32605
50,200,100,0.5772,0.38019
50,200,150,0.44339,0.31694
50,200,200,0.45527,0.32448
50,200,250,0.6445,0.42145
50,250,50,0.50435,0.35396
50,250,100,0.5289,0.35801
50,250,150,0.51623,0.35637
50,250,200,0.56057,0.37793
50,250,250,0.49881,0.34743
100,50,50,0.54949,0.36762
100,50,100,0.49089,0.33964
100,50,150,0.54157,0.36241
100,50,200,0.50198,0.34404
100,50,250,0.56374,0.37179
100,100,50,0.42043,0.30791
100,100,100,0.52415,0.35623
100,100,150,0.4711,0.33188
100,100,200,0.48219,0.34415
100,100,250,0.54157,0.36253
100,150,50,0.47427,0.32945
100,150,100,0.4426,0.32092
100,150,150,0.44101,0.32402
100,150,200,0.42122,0.31089
100,150,250,0.55107,1.2853
100,200,50,0.6635,0.41366
100,200,100,0.44418,0.31452
100,200,150,0.49485,0.34493
100,200,200,0.56136,0.37818
100,200,250,0.47506,0.33945
100,250,50,0.46714,0.32983
100,250,100,0.58828,1.3176
100,250,150,0.52415,0.3533
100,250,200,0.44418,0.31413
100,250,250,0.47585,0.33823
150,50,50,0.48931,0.3389
150,50,100,0.5384,0.36341
150,50,150,0.45289,0.32173
150,50,200,0.52652,0.35928
150,50,250,0.50515,0.34663
150,100,50,0.56057,0.36857
150,100,100,0.40143,0.29757
150,100,150,0.54315,0.37036
150,100,200,0.4133,0.30051
150,100,250,0.48931,0.34595
150,150,50,0.58036,0.3819
150,150,100,0.42914,0.31449
150,150,150,0.52969,0.36213
150,150,200,0.47585,0.32783
150,150,250,0.51069,0.35671
150,200,50,0.49089,0.33253
150,200,100,0.51069,0.35753
150,200,150,0.61045,0.40284
150,200,200,0.40618,0.30211
150,200,250,0.44339,0.32097
150,250,50,0.48852,0.34317
150,250,100,0.46714,0.33357
150,250,150,0.44339,0.32157
150,250,200,0.44418,0.31324
150,250,250,0.51386,0.35558
200,50,50,0.35946,0.27719
200,50,100,0.39272,0.29363
200,50,150,0.57482,0.38281
200,50,200,0.50198,0.34573
200,50,250,0.46239,0.32379
200,100,50,0.46397,0.33525
200,100,100,0.50435,0.35399
200,100,150,0.41884,0.29817
200,100,200,0.57482,0.37618
200,100,250,0.48931,0.35091
200,150,50,0.54394,0.3642
200,150,100,0.46002,0.3308
200,150,150,0.42835,0.31622
200,150,200,0.44181,0.31292
200,150,250,0.43389,0.31541
200,200,50,0.45843,0.32904
200,200,100,0.52494,0.3681
200,200,150,0.43389,0.30797
200,200,200,0.45447,0.3308
200,200,250,0.50435,0.35341
200,250,50,0.60728,0.39412
200,250,100,0.52494,0.35467
200,250,150,0.58907,0.38592
200,250,200,0.42676,0.30475
200,250,250,0.43864,0.31205
250,50,50,0.54236,0.36455
250,50,100,0.43072,0.31289
250,50,150,0.46556,0.3248
250,50,200,0.48377,0.34501
250,50,250,0.52257,0.35327
250,100,50,0.5004,0.34101
250,100,100,0.51227,0.3538
250,100,150,0.5289,0.3608
250,100,200,0.51465,0.35051
250,100,250,0.5194,0.36917
250,150,50,0.48535,0.33541
250,150,100,0.37846,0.28256
250,150,150,0.43626,0.31047
250,150,200,0.45843,0.32296
250,150,250,0.43072,0.3236
250,200,50,0.43705,0.30782
250,200,100,0.4711,0.34067
250,200,150,0.48773,0.34013
250,200,200,0.41093,0.30389
250,200,250,0.48931,0.33845
250,250,50,0.63658,0.40751
250,250,100,0.53127,0.36153
250,250,150,0.4806,0.33396
250,250,200,0.51702,0.3534
250,250,250,0.51069,0.35121
